CPI,CPIT,CPIXA,field_inflations_date
6.90,5.80,11.10,"Oct 2009"
5.00,5.30,7.70,"Nov 2009"
5.80,6.40,7.00,"Dec 2009"
8.40,8.70,14.50,"May 2009"
7.00,7.50,13.80,"Jun 2009"
6.00,7.40,14.20,"Jul 2009"
6.10,6.90,13.40,"Aug 2009"
12.80,11.50,16.40,"Jan 2009"
11.70,10.20,15.80,"Feb 2009"
11.70,10.60,15.80,"Mar 2009"
10.20,9.90,15.50,"Apr 2009"
13.10,11.30,12.00,"Oct 2008"
15.00,13.60,15.50,"Nov 2008"
13.70,12.10,16.10,"Dec 2008"
15.10,13.00,10.40,"Aug 2008"
14.00,12.90,11.40,"Sep 2008"
12.10,11.00,9.10,"May 2008"
14.50,12.50,9.80,"Jun 2008"
15.00,12.70,11.10,"Jul 2008"
9.00,8.70,8.60,"Feb 2008"
9.80,9.70,8.90,"Mar 2008"
11.10,10.50,8.80,"Apr 2008"
7.70,7.70,7.10,"Nov 2007"
8.10,7.80,7.10,"Dec 2007"
8.40,7.90,7.20,"Jan 2008"
7.20,6.80,7.20,"Aug 2007"
6.80,6.60,6.80,"Sep 2007"
7.30,7.30,7.00,"Oct 2007"
6.40,5.90,6.50,"May 2007"
6.40,6.10,6.80,"Jun 2007"
7.50,6.80,6.00,"Jul 2007"
6.30,5.50,6.10,"Apr 2007"
7.40,6.40,7.90,"Jan 2007"
7.30,6.00,6.50,"Feb 2007"
6.50,5.50,6.30,"Mar 2007"
8.80,7.70,10.60,"Nov 2006"
8.50,7.60,8.90,"Dec 2006"
10.50,10.00,12.00,"Sep 2006"
9.20,8.30,10.50,"Oct 2006"
11.90,0.00,0.00,"Jul 2006"
10.70,0.00,0.00,"Aug 2006"
13.50,0.00,0.00,"May 2006"
12.50,0.00,0.00,"Jun 2006"
13.80,0.00,0.00,"Mar 2006"
14.20,0.00,0.00,"Apr 2006"
12.70,0.00,0.00,"Jan 2006"
13.10,0.00,0.00,"Feb 2006"
11.30,0.00,0.00,"Nov 2005"
11.40,0.00,0.00,"Dec 2005"
9.60,0.00,0.00,"Aug 2005"
10.00,0.00,0.00,"Sep 2005"
11.20,0.00,0.00,"Oct 2005"
7.10,0.00,0.00,"Jun 2005"
8.20,0.00,0.00,"Jul 2005"
6.20,0.00,0.00,"Apr 2005"
6.30,0.00,0.00,"May 2005"
7.30,0.00,0.00,"Feb 2005"
6.50,0.00,0.00,"Mar 2005"
7.80,0.00,0.00,"Dec 2004"
8.00,0.00,0.00,"Jan 2005"
7.70,0.00,0.00,"Oct 2004"
7.60,0.00,0.00,"Nov 2004"
6.70,0.00,0.00,"Aug 2004"
7.00,0.00,0.00,"Sep 2004"
6.70,0.00,0.00,"Jun 2004"
6.80,0.00,0.00,"Jul 2004"
6.30,0.00,0.00,"Feb 2004"
6.90,0.00,0.00,"Mar 2004"
6.60,0.00,0.00,"Apr 2004"
7.40,0.00,0.00,"May 2004"
7.00,0.00,0.00,"Oct 2003"
6.60,0.00,0.00,"Nov 2003"
6.40,0.00,0.00,"Dec 2003"
6.20,0.00,0.00,"Jan 2004"
12.20,0.00,0.00,"Jun 2003"
8.60,0.00,0.00,"Jul 2003"
7.80,0.00,0.00,"Aug 2003"
7.30,0.00,0.00,"Sep 2003"
10.60,0.00,0.00,"Mar 2003"
10.80,0.00,0.00,"Apr 2003"
11.20,0.00,0.00,"May 2003"
10.60,0.00,0.00,"Dec 2002"
10.80,0.00,0.00,"Jan 2003"
11.60,0.00,0.00,"Feb 2003"
9.90,0.00,0.00,"Aug 2002"
10.10,0.00,0.00,"Sep 2002"
10.00,0.00,0.00,"Oct 2002"
10.40,0.00,0.00,"Nov 2002"
6.90,0.00,0.00,"Apr 2002"
5.80,0.00,0.00,"May 2002"
5.90,0.00,0.00,"Jun 2002"
8.80,0.00,0.00,"Jul 2002"
5.80,0.00,0.00,"Dec 2001"
5.70,0.00,0.00,"Jan 2002"
5.70,0.00,0.00,"Feb 2002"
6.10,0.00,0.00,"Mar 2002"
5.80,0.00,0.00,"Oct 2001"
5.80,0.00,0.00,"Nov 2001"
